边城	The Border Town
船将拢岸了，管理这渡船的，一面口中嚷着「慢点慢点」，自己霍的跃上了岸，拉着铁环，是人货牛马全上了岸，翻过小山不见了。	As the vessel neared the opposite shore, the person in charge would call out, "Steady now, take your time!" while suddenly leaping ashore holding the ring behind. The passengers, with all their goods, their horses, and their cows, would go ashore and head up over the heights, disappearing from view.
渡头为公家所有，故过渡人不必出钱。	The ferry landing was owned by the whole community, so the crossing was free to all.  Some passengers were a little uneasy about this.
有人心中不安，抓了一把钱掷到船板上时，管渡船的必为一一拾起，依然塞到那人手心里去，俨然吵嘴时的认真神气：「我有了口量，三斗米，七百钱，够了。谁要这个！」	When someone grabbed a few coins and threw them down on the boat deck, the ferryman always picked them up, one by one, and pressed them back into the hands of the giver, saying, in a stern, almost quarrelsome voice, "I'm paid for my work: three pecks of rice and seven hundred coppers. That's enough for me. Who needs this charity?"
但不成，凡事求个心安理得，出气力不受酬谁好意思，不管如何还是有人把钱的。	But that didn't always work.  One likes to feel one's done the right thing, and who feels good about letting honest labor go unrewarded?  So there were always some who insisted on paying.
管船人却情不过，也为了心安起见，便把这些钱托人到茶峒去买茶叶和草烟，将茶峒出产的上等草烟，一扎一扎挂在自己腰带边，过渡的谁需要这东西必慷慨奉赠。	This, in turn, upset the ferryman, who, to ease his own conscience, sent someone into Chadong with the money to buy tea and tobacco. Tying the best tobacco leaves Chadong had to offer into bundles and hanging them from his money belt, he'd offer them freely and generously to anyone in need.
有时从神气上估计那远路人对于身边草烟引起了相当的注意时，便把一小束草烟扎到那人包袱上去，一面说，「不吸这个吗，这好的，这妙的，味道蛮好，送人也合式！」	When he surmised from the look of a traveler from afar that he was interested in those tobacco leaves, the ferryman would stuff a few into the man's load, saying, "Elder Brother, won't you try these? Fine goods here, truly excellent; these giant leaves don't look it, but their taste is wonderful  just the thing to give as a gift!"
茶叶则在六月里放进大缸里去，用开水泡好，给过路人解渴。	Come June, he'd put his tea leaves into a big earthenware pot to steep in boiling water, for the benefit of any passerby with a thirst to quench.
管理这渡船的，就是住在塔下的那个老人。	The ferryman was the old man who lived below the pagoda.
活了七十年，从二十岁起便守在这小溪边，五十年来不知把船来去渡了若干人。	Seventy now, he'd kept to his place near this little stream since he was twenty.  In the fifty years since, there was simply no telling how many people he'd ferried across in that boat.
年纪虽那么老了。本来应当休息了，但天不许他休息，他彷佛便不能够同这一分生活离开。	He was hale and hearty despite his age; it was time for him to have his rest, but Heaven didn't agree.  He seemed tied to this work for life.
他从不思索自己的职务对于本人的意义，只是静静的很忠实的在那里活下去。	He never mulled over what his work meant to him; he just quietly and faithfully kept on with his life here.
代替了天，使他在日头升起时，感到生活的力量，当日头落下时，又不至于思量与日头同时死去的，是那个伴在他身旁的女孩子。	It was the girl keeping him company who was Heaven's agent, letting him feel the power of life as the sun rose, and stopping him from thinking of expiring along with the sunlight when it faded at night.
他唯一的朋友为一只渡船与一只黄狗，唯一的亲人便只那个女孩子。	His only friends were the ferryboat and the yellow dog; his only family, that little girl.
女孩子的母亲，老船夫的独生女，十五年前同一个茶峒军人，很秘密的背着那忠厚爸爸发生了暧昧关系。	The girl's mother, the ferryman's only child, had some fifteen years earlier come to know a soldier from Chadong through the customary exchange of amorous verses, sung by each in turn across the mountain valley.  And that had led to trysts carried on behind the honest ferryman's back.
有了小孩子后，这屯戍军士便想约了她一同向下游逃去。	When she was with child, the soldier, whose job it was to guard the farmer-soldier colonies upcountry, tried to persuade her to elope and follow him far downstream.
但从逃走的行为上看来，一个违悖了军人的责任，一个却必得离开孤独的父亲。	But taking flight would mean, for him, going against his military duty, and for her, leaving her father all alone.
经过一番考虑后，军人见她无远走勇气自己也不便毁去作军人的名誉，就心想：一同去生既无法聚首，一同去死当无人可以阻拦，首先服了毒。	They thought about it, but the garrison soldier could see she lacked the nerve to travel far away, and he, too, was loath to spoil his military reputation.  Though they could not join each other in life, nothing could stop them from coming together in death.  He took the poison first.
女的却关心腹中的一块肉，不忍心，拿不出主张。	Not steely-hearted enough to ignore the little body growing within her, the girl hesitated.
事情业已为作渡船夫的父亲知道，父亲却不加上一个有份量的字眼儿，只作为并不听到过这事情一样，仍然把日子很平静的过下去。	By now her father, the ferryman, knew what was happening, but he said nothing, as if still unaware.  He let the days pass as placidly as always.
女儿一面怀了羞惭一面却怀了怜悯，仍守在父亲身边，待到腹中小孩生下后，却到溪边吃了许多冷水死去了。	The daughter, feeling shame but also compassion, stayed at her father's side until the child was born, whereupon she went to the stream and drowned herself in the cold waters.
在一种近于奇迹中，这遗孤居然已长大成人，一转眼间便十三岁了。	As if by a miracle, the orphan lived and matured.  In the batting of an eye, she had grown to be thirteen.
为了住处两山多篁竹，翠色逼人而来，老船夫随便为这可怜的孤雏拾取了一个近身的名字，叫作「翠翠」。	Because of the compelling deep, emerald green of bamboo stands covering the mountains on either side by the stream where they lived, the old ferryman, without a second thought, named the girl after what was close at hand: Cuicui, or "Jade Green."
翠翠在风日里长养着，把皮肤变得黑黑的，触目为青山绿水，一对眸子清明如水晶。	Cuicui grew up under the sun and the wind, which turned her skin black as could be.  The azure mountains and green brooks that met her eyes turned them clear and bright as crystal.
自然既长养她且教育她，为人天真活泼，处处俨然如一只小兽物。	Nature had brought her up and educated her, making her innocent and spirited, in every way like a little wild animal.
人又那么乖，如山头黄麂一样，从不想到残忍事情，从不发愁，从不动气。	Yet she was as docile and unspoiled as a mountain fawn, wholly unacquainted with cruelty, never worried, and never angry.
平时在渡船上遇陌生人对她有所注意时，便把光光的眼睛瞅着那陌生人，作成随时皆可举步逃入深山的神气，但明白了人无机心后，就又从从容容的在水边玩耍了。	When a stranger on the ferry cast a look at her, she would shoot him a glance with those brilliant eyes, as if ready to flee into the hills at any instant; but once she saw that he meant her no harm, she would go back to playing by the waterside as if nothing had happened.
老船夫不论晴雨，必守在船头。	In rainy weather and fair, the old ferryman kept at his post in the prow of the ferryboat.
有人过渡时，便略弯着腰，两手缘引了竹缆，把船横渡过小溪。	When someone came to cross the stream, he'd stoop to grasp the bamboo cable and use both hands to pull the boat along to the other shore.
有时疲倦了，躺在临溪大石上睡着了，人在隔岸招手喊过渡，翠翠不让祖父起身，就跳下船去，很敏捷的替祖父把路人渡过溪，一切皆溜刷在行，从不误事。	When he was tired, he stretched out to sleep on the bluffs by the waterside.  If someone on the other side waved and hollered that he wanted to cross, Cuicui would jump into the boat to save her grandpa the trouble and swiftly ferry the person across, pulling on the cable smoothly and expertly without a miss.
有时又和祖父黄狗一同在船上，过渡时和祖父一同动手，船将近岸边，祖父正向客人招呼：「慢点，慢点」时，那只黄狗便口衔绳子，最先一跃而上，且俨然懂得如何方为尽职似的，把船绳紧衔着拖船拢岸。	Sometimes, when she was in the boat with her grandpa and the yellow dog, she'd tug the cable along with the ferryman till the boat got to the other side.  As it approached the far shore, while the grandfather hailed the passengers with his "Steady now, take your time," the yellow dog would be the first to jump on land, with the tie rope in his mouth. He'd pull the boat to shore with that rope clenched between his teeth, just as if it were his job.
风日清和的天气，无人过渡，镇日长闲，祖父同翠翠便坐在门前大岩石上晒太阳。	When the weather was clear and fine and there was nothing to do because no one wanted to cross, Grandpa and Cuicui would sun themselves atop the stone precipice in front of their home.
或把一段木头从高处向水中抛去，嗾使身边黄狗自岩石高处跃下，把木头衔回来。	Sometimes they'd throw a stick into the water from above and whistle to the yellow dog to jump down from the heights to fetch it.
或翠翠与黄狗皆张着耳朵，听祖父说些城中多年以前的战争故事。	Or Cuicui and the dog would prick up their ears while Grandpa told them stories of war in the city many, many years ago.
或祖父同翠翠两人，各把小竹作成的竖笛，逗在嘴边吹着迎亲送女的曲子。	Other times, they'd each press a little upright bamboo flute to their lips and play the melodies of bridal processions, in which the groom went to the bride's house and brought her home.
过渡人来了，老船夫放下了竹管，独自跟到船边去，横溪渡人，在岩上的一个，见船开动时，于是锐声喊着：	When someone came to cross, the old ferryman would lay down his flute and ferry the person across on the boat by himself, while the girl, still on the cliff, would call out in a high-pitched voice, just as the boat took off,
「爷爷，爷爷，你听我吹，你唱！」	"Grandpa, Grandpa, listen to me play. You sing!"
爷爷到溪中央便很快乐的唱起来，哑哑的声音同竹管声振荡在寂静空气里，溪中彷佛也热闹了一些。	At midstream, Grandpa would suddenly break out in joyful song; his hoarse voice and the reedy sound of the flute pulsated in the still air, making the whole stream seem to stir.
（实则歌声的来复，反而使一切更寂静一些了。）	Yet the reverberating strains of song brought out the stillness all around.
有时过渡的是从川东过茶峒的小牛，是羊群，是新娘子的花轿，翠翠必争看作渡船夫，站在船头，懒懒的攀引缆索，让船缓缓的过去。	When the passengers heading for Chadong from East Sichuan included some calves, a flock of sheep, or a bridal cortege with its ornate palanquin, Cuicui would rush to do the ferrying.
牛羊花轿上岸后，翠翠必跟着走，站到小山头，目送这些东西走去很远了，方回转船上，把船牵靠近家的岸边。	Standing in the boat's prow, she'd move the craft along the cable languidly and the crossing would be quite slow.  After the calves, sheep, or palanquin were ashore, Cuicui would follow, escorting the pack up the hill, and stand there on the heights, fixing her eyes on them for a long ways before she returned to the ferryboat to pull it back to the shore and home.
且独自低低的学小羊叫着，学母牛叫着，或采一把野花缚在头上，独自装扮新娘子。	All alone, she'd softly bleat like the lambs, low like a cow, or pick wildflowers to bind up her hair like a bride  all alone.
茶峒山城只隔渡头一里路，买油买盐时，逢年过节祖父得喝一杯酒时，祖父不上城，黄狗就伴同翠翠入城里去备办东西。到了卖杂货的铺子里，有大把的粉条，大缸的白糖，有炮仗，有红蜡烛，莫不给翠翠很深的印象，回到祖父身边，总把这些东西说个半天。	The mountain town of Chadong was only a li from the ferry dock.  When in town to buy oil or salt, or to celebrate the New Year, the grandfather would stop for a drink.
那里河边还有许多上行船，百十船夫忙着起卸百货。这种船只比起渡船来全大得多，有趣味得多，翠翠也不容易忘记。	When he stayed home, the yellow dog would accompany Cuicui as she went to town for supplies.  What she would see in the general store  big piles of thin noodles made from bean starch, giant vats of sugar, firecrackers, and red candles  made a deep impression on her.  When she got back to her grandfather, she'd go on about them endlessly.  The many boats on the river in town were much bigger than the ferryboat and far more intriguing, quite unforgettable to Cuicui.
第二章	CHAPTER TWO
茶峒地方凭水依山筑城，近山的一面，城墙如一条长蛇，缘山爬去。	Chadong was built between the river and the mountains.  On the land side, the city wall crept along the mountain contours like a snake.
临水一面则在城外河边留出余地设码头，湾泊小小篷船。	On the water side, tiny boats with awnings berthed along wharves constructed on the land between the wall and the river.
船下行时运桐油青盐，染色的棓子。	Boats heading downstream carried loads of tung oil, rock salt, and nutgalls  the wasp-made swellings on oak trees used to make dyes.
上行则运棉花棉纱以及布匹杂货同海味。	Those going upstream transported cotton yarn and cloth, foodstuffs, household supplies, and choice seafood.
贯串各个码头有一条河街，人家房子多一半着陆，一半在水，因为余地有限，那些房子莫不设有吊脚楼。	Threading through each of the wharves was River Street.  Land was scarce, so most people's houses were "dangling-foot houses," half on land, half on stilts built over the water. When water crept up over the street during a great springtime flood, the households of River Street would extend long ladders from the eaves of their houses across to the city wall.
河中涨了春水，到水逐渐进街后，河街上人家，便各用长长的梯子，一端搭在屋檐口，一端搭在城墙上，人人皆骂着嚷着，带了包袱、铺盖、米缸，从梯子上进城里去，水退时方又从城门口出城。	Cursing and shouting, they'd enter the city over the ladders, carrying cloth-wrapped bundles, bedrolls, and crocks of rice, then wait for the water to recede before coming back out of the city through the gate in the wall.
某一年水若来得特别猛一些，沿河吊脚楼必有一处两处为大水冲去，大家皆在城上头呆望。	If one year the waters raged especially fierce, the flood might break through the row of stilt houses in one or two places.  The onlookers atop the city wall could only gape.
受损失的也同样呆望着，对于所受的损失彷佛无话可说，与在自然安排下，眼见其他无可挽救的不幸来时相似。	Those who suffered the harm stared right back, speechless over their loss, as if it were just one more unhappy and unavoidable act of nature.
涨水时在城上还可望着骤然展宽的河面，流水浩浩荡荡，随同山水从上流浮沉而来的有房子、牛、羊、大树。	When the river flooded, one could watch its sudden swelling from the city wall.  Within that vast surge of mountain waters from upstream, houses, oxen, sheep, and giant trees bobbed up and down.
于是在水势较缓处，税关趸船前面，便常常有人驾了小舢板，一见河心浮沉而来的是一匹牲畜，一段小木，或一只空船，船上有一个妇人或一个小孩哭喊的声音，便急急的把船桨去，在下游一些迎着了那个目的物，把它用长绳系定，再向岸边桨去。	In the places where the torrent slowed, as in front of the pontoons by the customs house, people often went out in little sampans.  When they spied a head of livestock, a piece of lumber, or a cargoless boat rising and falling in the waves midstream, perhaps with a crying and screaming woman or child on board, they urgently paddled out, and after meeting the object of rescue downstream, lashed it to the sampan with a long rope, then rowed back to shore.
这些诚实勇敢的人，也爱利，也仗义，同一般当地人相似。	These daring souls typified the local people: they had an eye for their own gain, but also for helping other folks.
不拘救人救物，却同样在一种愉快冒险行为中，做得十分敏捷勇敢，使人见及不能不为之喝采。	They were equally joyful salvaging people and property, and they did it with such skill and bravery that onlookers felt compelled to shout hurrahs.
那条河水便是历史上知名的酉水，新名字叫作白河。	The river was the famous You Shui of history, whose new name is the Bai Shui or White River.
白河下游到辰州与沅水汇流后，便略显浑浊，有出山泉水的意思。	After the White River got to Chenzhou and merged with the River Yuan, it became somewhat turbid, proving the adage that spring water becomes muddy when it leaves the mountains.
若溯流而上，则三丈五丈的深潭皆清澈见底。	Trace the river back upstream, and it was so clear you could see right down to the bottom, through pools thirty or fifty feet deep.
深潭为白日所映照，河底小小白石子，有花纹的玛瑙石子，全看得明明白白。水中游鱼来去，全如浮在空气里。	When the sun shone on the deep parts, the white pebbles and striated carnelian stones at the bottom were visible clear as could be, along with fish darting to and fro as if floating in air.
两岸多高山，山中多可以造纸的细竹，长年作深翠颜色，逼人眼目。	High mountains came down to the river on both sides  mountains covered with slender bamboos good for making paper, in all seasons such a deep emerald color as to transfix the eyes.
近水人家多在桃杏花里，春天时只需注意，凡有桃花处必有人家，凡有人家处必可沽酒。	Households near the water appeared among peach and apricot blossoms.  Come spring, one had only to look: wherever there were peach blossoms there was sure to be a home, and wherever there were people, you could stop for a drink.
夏天则晒晾在日光下耀目的紫花布衣裤，可以作为人家所在的旗帜。	In the summer, purple cotton-print tunics and trousers that dazzled the eye as they dried in the sunlight became ensigns of human habitation.
秋冬来时，房屋在悬崖上的，滨水的，无不朗然入目。	When autumn and winter arrived, dwellings on the cliffs and by the water came clearly into view  not one could escape notice.
黄泥的墙，乌黑的瓦，位置则永远那么妥贴，且与四围环境极其调和，使人迎面得到的印象，实在非常愉快。	Walls of yellow earth and pitch-black tiles, neatly placed there for all time and in harmony with the surroundings on every side, brought the viewer a sense of extraordinary joy.
一个对于诗歌图画稍有兴味的旅客，在这小河中，蜷伏于一只小船上，作三十天的旅行，必不至于感到厌烦，正因为处处有奇迹，自然的大胆处与精巧处，无一处不使人神往倾心。	A traveler with the slightest interest in poetry or painting could sail this narrow river curled up in a little boat for a whole month without ever getting tired of it.  Miracles could be discovered everywhere.  The boldness, the exquisiteness of nature, at every place and every time, led one inescapably into rapture.
白河的源流，从四川边境而来，从白河上行的小船，春水发时可以直达川属的秀山。	The source of the White River was up past the Sichuan frontier.  Small boats going upstream could make it all the way on the high waters of spring to Xiushan in Sichuan.
但属于湖南境界的，则茶峒为最后一个水码头。	Chadong was the last river port on the Hunan side of the border.
这条河水的河面，在茶峒时虽宽约半里，当秋冬之际水落时，河床流水处还不到二十丈，其余只是一滩青石。	The big river broadened to half a li at Chadong, but when autumn turned to winter and the water level fell, it revealed a riverbed only two hundred feet wide.  Beyond that were only shoals of black boulders.
小船到此后，既无从上行，故凡川东的进出口货物，皆由这地方落水起岸。	Boats arriving at this point could go no farther upstream, so all goods going in or out of East Sichuan had to be unloaded here.
出口货物俱由脚夫用杉木扁担压在肩膊上挑抬而来，入口货物也莫不从这地方成束成担的用人力搬去。	Products came out of the province on mulberry wood carrying poles borne on the shoulders of porters.  Goods headed the other way had to be tied into bundles for transport by muscle power.
这地方城中只驻扎一营由昔年绿营屯丁改编而成的戍兵，及五百家左右的住户。	Chadong and its environs were defended by a lone battalion of garrison troops reorganized from the Green Standard Army's farmer-soldiers of yesteryear.  They were joined by almost five hundred resident households in town.
（这些住户中，除了一部分拥有了些山田同油坊，或放账屯油、屯米、屯棉纱的小资本家外，其余多数皆为当年屯戍来此有军籍的人家。）	(Apart from those who owned fields up in the mountains or tung oil presses, and small-time capitalists who gave out loans for tung oil, rice, or cotton yarn, nearly all the others in town were on the military payroll, descended from households brought in to garrison the area.)
地方还有个厘金局，办事机关在城外河街下面小庙里，经常挂着一面长长的幡信。	There was also a likin transit-tax bureau, housed in a little temple below River Street outside the city wall.
局长则住在城中。	The bureau chief had lived in town for a long time.
一营兵士驻扎老参将衙门，除了号兵每天上城吹号玩，使人知道这里还驻有军队以外，其余兵士皆彷佛并不存在。	The battalion of soldiers was quartered in the yamen of the former Green Standard lieutenant-colonel.  Were it not for the bugler who blew his daily calls from atop the city wall, reminding all that a garrison was here, one would hardly know that these people were soldiers.
冬天的白日里，到城里去，便只见各处人家门前皆晾晒有衣服同青菜。	On winter days, clothes and green vegetables could be seen drying in the sun in front of every doorway.
红薯多带藤悬挂在屋檐下。	Sweet potatoes hung from the eaves by their vines.
用棕衣作成的口袋，装满了栗子榛子和其他硬壳果，也多悬挂在屋檐下。	Bags made from palm-bark rain capes, stuffed with chestnuts and hazelnuts, also hung under the eaves.
屋角隅各处有大小鸡叫着玩着。	Chickens big and little disported themselves by every house, cackling.
间或有什么男子，占据在自己屋前门限上锯木，或用斧头劈树，把劈好的柴堆到敞坪里去一座一座如宝塔。	Here and there would be a man sitting on the high doorsill of his house or splitting logs with an ax, stacking his firewood in the courtyard in neat piles like pagodas.
又或可以见到几个中年妇人，穿了浆洗得极硬的蓝布衣裳，胸前挂有白布扣花围裙，躬着腰在日光下一面说话一面作事。	Middle-aged women wore blue cotton outfits starched stiff, with embroidered white cotton aprons hanging down across their bosoms.  They chatted as they worked, stooping in the sunlight.
一切总永远那么静寂，所有人民每个日子皆在这种单纯寂寞里过去。	It all reflected eternal peace.  Everybody passed each day in a pure quietude that is hard to imagine.
一分安静增加了人对于「人事」的思索力，增加了梦。	This measure of tranquility allowed everyone to consider their personal affairs and also their dreams.
在这小城中生存的，各人也一定皆各在分定一份日子里，怀了对于人事爱憎必然的期待。	Each and every denizen of this small town, within the days allotted by nature, nursed his or her own hopes of love and expectations of hate.
但这些人想些什么？	But what exactly were they thinking about?
谁知道。	That was unfathomable.
住在城中较高处，门前一站便可以眺望对河以及河中的景致，船来时，远远的就从对河滩上看着无数纤夫。	Those who lived in the higher elevations within the city walls saw from their front doors scenes of the river and the opposite shore.  When a boat approached, they could see innumerable trackers on the opposite bank pulling it upstream.
那些纤夫也有从下游地方，带了细点心洋糖之类，拢岸时却拿进城中来换钱的。	Those trackers brought cakes and imported candies from downriver, which they would exchange for cash in the city after coming ashore.
船来时，小孩子的想象，当在那些拉船人一方面。	Whenever a boat came to town, the local children's imaginations flew to the men who did the pulling.
大人呢，孵一巢小鸡，养两只猪，托下行船夫打副金耳环，带两丈官青布或一坛好酱油、一个双料的美孚灯罩回来，便占去了大部分作主妇的心了。	And the adults?  If they'd hatched a nest of chicks or raised a pig or two, they'd entrust them to the towmen on the downstream voyage, to exchange for gold earrings, a few yards of superior black cloth, an earthenware jug of gift-quality soy sauce, or an especially sturdy chimney for their American Standard Oil kerosene lamp.  Such thoughts preoccupied most of the housewives.
这小城里虽那么安静和平但地方既为川东商业交易接头处，因此城外小小河街，情形却不同了一点。	This small town was peaceful and quiet within its walls, but its location made it the nexus for commerce with East Sichuan, so the little River Street outside the city wall was quite a different story.
也有商人落脚的客店，坐镇不动的理发馆。	There were inns where merchants put up and barbers who stayed in place, not just the itinerant ones who set up their chair in the street.
此外饭店、杂货铺、油行、盐栈、花衣庄，莫不各有一种地位，装点了这条河街。	There were restaurants, a general store, firms dealing in tung oil and salt, and a shop selling cloth of all designs and colors  every kind of merchandise had found its place along this River Street.
还有卖船上用的檀木活车、竹缆与罐锅铺子，介绍水手职业吃码头饭的人家。	Still another outfit sold hardwood pulleys, bamboo cables, woks and pots, all for use onboard ships.  And wharf rats made their living connecting the boatmen with their employers.
小饭店门前长案上，常有煎得焦黄的鲤鱼豆腐，身上装饰了红辣椒丝，卧在浅口钵头里，钵旁大竹筒中插着大把红筷子，不拘谁个愿意花点钱，这人就可以傍了门前长案坐下来，抽出一双筷子到手上，那边一个眉毛扯得极细脸上擦了白粉的妇人就走过来问：「大哥，副爷，要甜酒？要烧酒？」	Long tables in front of the little restaurants offered carp fried a crispy brown, lying in a big shallow earthenware bowl with bean curd, the fish adorned with slivers of red peppers.  Next to the bowl was a big bamboo cylinder with giant red chopsticks sticking up out of it. Anyone willing to plunk down the money could edge up to that table outside the front door, take a seat, and pull out a pair of those chopsticks. A woman with a white powdered face and finely plucked eyebrows would come over and ask, "Elder Brother, Honorable Soldier, what'll it be? Sweet wine? Clear liquor?"
男子火焰高一点的，谐趣的，对内掌柜有点意思的，必装成生气似的说：「吃甜酒？又不是小孩，还问人吃甜酒」	A male customer who was witty and wanted to get a rise out of her, or who fancied the proprietress a little, would feign anger and retort, "Sweet wine, for the likes of me? Do I look like a child? Sweet wine, you say!"
那么，酽冽的烧酒，从大瓮里用竹筒舀出，倒进土碗里，即刻就来到身边案桌上了。	Potent white spirits were then dipped out of the wine vat with a wooden ladle into an earthenware bowl set immediately upon the table. This bowl of spirits was of course strong and pungent, enough to knock out many a stout fellow, so one couldn't drink another.
杂货铺卖美孚油及点美孚油的洋灯，与香烛纸张。	The general store sold American kerosene, the Standard Oil lamps that burned it, incense, candles, and paper goods.
油行屯桐油。	The oil firm was a depot for tung oil.
盐栈堆火井出的青盐。	The salt firm stored piles of rock salt of the sort produced since ancient times in Huojing town, Sichuan.
花衣庄则有白棉纱、大布、棉花以及包头的黑绉绸出卖。	The dry goods shop sold white cotton yarn, cloth, cotton, and the black silk crepe wound around the head as a turban.
卖船上用物的，百物罗列，无所不备，且间或有重至百斤以外的铁锚搁在门外路旁，等候主顾问价的。	The ship chandler had just about everything in its trade, sometimes even an anchor weighing a hundred catties just resting outside the door and waiting for a customer to ask its price.
专以介绍水手为事业，吃水码头饭的，则在河街的家中，终日大门敞开着，常有穿青羽缎马褂的船主与毛手毛脚的水手进出，地方像茶馆却不卖茶，不是烟馆又可以抽烟。	Boat owners clad in their dark blue sateen mandarin jackets and fidgeting boatmen went in and out of the establishment of the wharf rats who got the boatmen their work; its door, on River Street, was open all day long.  It was like a teahouse that sold no tea, though you could smoke a pipe of opium there.
来到这里的，虽说所谈的是船上生意经，然而船只的上下，划船拉纤人大都有一定规矩，不必作数目上的讨论。	The men all said they went there to keep up on their trade, but everybody in the crew from top to bottom, from the oarsmen on board to the trackers onshore, observed a rule: no talking about numbers.
他们来到这里大多数倒是在「联欢」。以「龙头管事」作中心，谈论点本地时事，两省商务上情形，以及下游的「新事」。邀会的，集款时大多数皆在此地，扒骰子看点数多少轮作会首时，也常常在此举行。	Most went there to "socialize." With the "Dragon Head" lodge master at the center of things, they talked about local affairs, business conditions in the two provinces, and "news," most of which came from downriver. Meetings and fund-raising generally took place here, and it was here, too, that money-savers' circles often threw the dice to see who took home the pot this time.
常常成为他们生意经的，有两件事：买卖船只，买卖媳妇。	The trades that really held their attention were two in number: the buying and selling of boats, and of women.
大都市随了商务发达而产生的某种寄食者，因为商人的需要，水手的需要，这小小边城的河街，也居然有那么一群人，聚集在一些有吊脚楼的人家。	Certain kinds of big-city hangers-on follow commercial prosperity, to meet the needs of merchants and also the boatmen.  Even this tiny border town had those types along its River Street; they congregated in establishments housed in the dangling-foot structures.
这种妇人不是从附近乡下弄来，便是随同川军来湘流落后的妇人，穿了假洋绸的衣服，印花标布的裤子，把眉毛扯得成一条细线，大大的发髻上敷了香味极浓俗的油类。	These little dames were either brought in from the surrounding countryside or they were camp followers of the Sichuan Army when it had come foraging in Hunan.  They wore jackets of faux foreign satin over cotton print trousers; they plucked their eyebrows into thin lines and drew up their hair into big topknots that gave off strong scents of cheaply perfumed oil.
白日里无事，就坐在门口做鞋子，在鞋尖上用红绿丝线挑绣双凤，或为情人水手挑绣花抱兜，一面看过往行人，消磨长日。	Unoccupied during the day, they sat outside their doorways on little square stools, making shoes to while away the time, embroidering mating phoenixes on the toes in red and green silk thread and keeping an eye out for passersby.
或靠在临河窗口上看水手铺货，听水手爬桅子唱歌。	Or they'd sit by a window along the river to watch the sailors lifting cargo and listen to them sing as they climbed up the masts.
到了晚间，则轮流的接待商人同水手，切切实实尽一个妓女应尽的义务。	Come evening, though, they'd take their turns serving the merchants and the boatmen, earnestly doing all that it was a prostitute's duty to do.
由于边地的风俗淳朴，便是作妓女，也永远那么浑厚，遇不相熟的人，做生意时得先交钱，再关门撒野，人既相熟后，钱便在可有可无之间了。	Folkways in a border district are so straightforward and unsophisticated that even the prostitutes retained their everlasting honesty and simplicity.  With a new customer, they got the money in advance; with business settled, they closed the door and the wild oats were sown.  If they knew the customer, payment was up to him.
妓女多靠四川商人维持生活，但恩情所结，则多在水手方面。	The prostitutes depended on the Sichuan merchants for their living, but their love went to the boatmen.
感情好的，互相咬着嘴唇咬着颈脖发了誓，约好了「分手后各人皆不许胡闹」，四十天或五十天，在船上浮着的那一个，同留在岸上的这一个，便皆待着打发这一堆日子，尽把自己的心紧紧缚定远远的一个人。	When the couple were sweet on each other, they'd each swear an oath when parting, biting each other on the lips and the nape of the neck, promising to stay true during their separation.  The one afloat on the boat, and likewise the one staying ashore, got through the next forty, the next fifty days with their heartstrings firmly bound to the other so far away.
尤其是妇人感情真挚，痴到无可形容，男子过了约定时间不回来，做梦时，就总常常梦船拢了岸，一个人摇摇荡荡的从船跳板到了岸上，直向身边跑来。	Particularly the women, who were given to true infatuations of indescribable simplemindedness, would see their man in their dreams if he failed to return within the agreed-upon time.  Often they'd envision the boat pull into shore and their man teeter on his sea legs down the gangplank, then come running directly to her side.
